,department_name,Sum of Dept Total output cost,prev_year Sum of Dept Total output cost,program_name,program_description,Total output cost,deliverable,year,estimate_or_actual,measure_unit,measure_type,deliverable_id
2825,Department of Treasury and Finance,122.5,92.8,Services to Government,"The output contributes to the Department’s objective of delivering efficient whole of government common services to the Victorian public sector by: • developing and maintaining a framework of whole of government policies, standards and guidelines which promote the efficient and effective use of common services including procurement, fleet and accommodation; • managing a program of whole of government procurement contracts to ensure optimum benefit to government; • supporting the operations of the Victorian Government Purchasing Board; • providing whole of government accommodation; and • providing of efficient fleet leasing and management services. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",52.0,Total accommodation cost,2015,384.0,$ per square metre per year,Quantity,593
2826,Department of Treasury and Finance,122.5,92.8,Services to Government,"The output contributes to the Department’s objective of delivering efficient whole of government common services to the Victorian public sector by: • developing and maintaining a framework of whole of government policies, standards and guidelines which promote the efficient and effective use of common services including procurement, fleet and accommodation; • managing a program of whole of government procurement contracts to ensure optimum benefit to government; • supporting the operations of the Victorian Government Purchasing Board; • providing whole of government accommodation; and • providing of efficient fleet leasing and management services. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",52.0,Workspace ratio,2015,14.4,square metre per FTE,Quantity,594
2827,Department of Treasury and Finance,122.5,92.8,Services to Government,"The output contributes to the Department’s objective of delivering efficient whole of government common services to the Victorian public sector by: • developing and maintaining a framework of whole of government policies, standards and guidelines which promote the efficient and effective use of common services including procurement, fleet and accommodation; • managing a program of whole of government procurement contracts to ensure optimum benefit to government; • supporting the operations of the Victorian Government Purchasing Board; • providing whole of government accommodation; and • providing of efficient fleet leasing and management services. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",52.0,Client agencies’ satisfaction with the service provided by the Shared Services Provider,2015,70.2,per cent,Quality,595
2828,Department of Treasury and Finance,122.5,92.8,Services to Government,"The output contributes to the Department’s objective of delivering efficient whole of government common services to the Victorian public sector by: • developing and maintaining a framework of whole of government policies, standards and guidelines which promote the efficient and effective use of common services including procurement, fleet and accommodation; • managing a program of whole of government procurement contracts to ensure optimum benefit to government; • supporting the operations of the Victorian Government Purchasing Board; • providing whole of government accommodation; and • providing of efficient fleet leasing and management services. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",52.0,Maintain ISO 9001 (Quality Management Systems) Certification,2015,100.0,per cent,Quality,596
2789,Department of Treasury and Finance,114.9,122.5,Economic Regulatory Services,"This output provides economic regulation of utilities and other specified markets in Victoria to protect the long-term interests of Victorian consumers with regard to price, quality, reliability and efficiency of essential services. By providing these services, this output contributes to the Departmental objective to strengthen Victoria’s economic performance. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output provides economic regulation of utilities and other specified markets in Victoria to protect the long-term interests of Victorian consumers with regard to price, quality, reliability and efficiency of essential services. By providing these services, this output contributes to the Departmental objective to strengthen Victoria’s economic performance. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",18.9,New or revised regulatory instruments issued,2016,5.0,number,Quantity,575
2790,Department of Treasury and Finance,114.9,122.5,Economic Regulatory Services,"This output provides economic regulation of utilities and other specified markets in Victoria to protect the long-term interests of Victorian consumers with regard to price, quality, reliability and efficiency of essential services. By providing these services, this output contributes to the Departmental objective to strengthen Victoria’s economic performance. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output provides economic regulation of utilities and other specified markets in Victoria to protect the long-term interests of Victorian consumers with regard to price, quality, reliability and efficiency of essential services. By providing these services, this output contributes to the Departmental objective to strengthen Victoria’s economic performance. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",18.9,Performance reports for regulated businesses or industries,2016,7.0,number,Quantity,576
2791,Department of Treasury and Finance,114.9,122.5,Economic Regulatory Services,"This output provides economic regulation of utilities and other specified markets in Victoria to protect the long-term interests of Victorian consumers with regard to price, quality, reliability and efficiency of essential services. By providing these services, this output contributes to the Departmental objective to strengthen Victoria’s economic performance. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output provides economic regulation of utilities and other specified markets in Victoria to protect the long-term interests of Victorian consumers with regard to price, quality, reliability and efficiency of essential services. By providing these services, this output contributes to the Departmental objective to strengthen Victoria’s economic performance. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",18.9,Performance reviews and compliance audits of regulated businesses,2016,108.0,number,Quantity,577
2792,Department of Treasury and Finance,114.9,122.5,Economic Regulatory Services,"This output provides economic regulation of utilities and other specified markets in Victoria to protect the long-term interests of Victorian consumers with regard to price, quality, reliability and efficiency of essential services. By providing these services, this output contributes to the Departmental objective to strengthen Victoria’s economic performance. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output provides economic regulation of utilities and other specified markets in Victoria to protect the long-term interests of Victorian consumers with regard to price, quality, reliability and efficiency of essential services. By providing these services, this output contributes to the Departmental objective to strengthen Victoria’s economic performance. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",18.9,Price approvals of regulated businesses,2016,29.0,number,Quantity,578
2793,Department of Treasury and Finance,114.9,122.5,Economic Regulatory Services,"This output provides economic regulation of utilities and other specified markets in Victoria to protect the long-term interests of Victorian consumers with regard to price, quality, reliability and efficiency of essential services. By providing these services, this output contributes to the Departmental objective to strengthen Victoria’s economic performance. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output provides economic regulation of utilities and other specified markets in Victoria to protect the long-term interests of Victorian consumers with regard to price, quality, reliability and efficiency of essential services. By providing these services, this output contributes to the Departmental objective to strengthen Victoria’s economic performance. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",18.9,Registration and accreditation decisions/approvals in relation to the Victorian Energy Efficiency Target Scheme,2016,6951.0,number,Quantity,579
2794,Department of Treasury and Finance,114.9,122.5,Economic Regulatory Services,"This output provides economic regulation of utilities and other specified markets in Victoria to protect the long-term interests of Victorian consumers with regard to price, quality, reliability and efficiency of essential services. By providing these services, this output contributes to the Departmental objective to strengthen Victoria’s economic performance. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output provides economic regulation of utilities and other specified markets in Victoria to protect the long-term interests of Victorian consumers with regard to price, quality, reliability and efficiency of essential services. By providing these services, this output contributes to the Departmental objective to strengthen Victoria’s economic performance. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",18.9,"Reviews, investigations or advisory projects",2016,4.0,number,Quantity,580
2795,Department of Treasury and Finance,114.9,122.5,Economic Regulatory Services,"This output provides economic regulation of utilities and other specified markets in Victoria to protect the long-term interests of Victorian consumers with regard to price, quality, reliability and efficiency of essential services. By providing these services, this output contributes to the Departmental objective to strengthen Victoria’s economic performance. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output provides economic regulation of utilities and other specified markets in Victoria to protect the long-term interests of Victorian consumers with regard to price, quality, reliability and efficiency of essential services. By providing these services, this output contributes to the Departmental objective to strengthen Victoria’s economic performance. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",18.9,"Decisions upheld where subject to review, appeal or disallowance",2016,100.0,per cent,Quality,582
2796,Department of Treasury and Finance,114.9,122.5,Economic Regulatory Services,"This output provides economic regulation of utilities and other specified markets in Victoria to protect the long-term interests of Victorian consumers with regard to price, quality, reliability and efficiency of essential services. By providing these services, this output contributes to the Departmental objective to strengthen Victoria’s economic performance. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output provides economic regulation of utilities and other specified markets in Victoria to protect the long-term interests of Victorian consumers with regard to price, quality, reliability and efficiency of essential services. By providing these services, this output contributes to the Departmental objective to strengthen Victoria’s economic performance. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",18.9,Delivery of major milestones within agreed timelines,2016,100.0,per cent,Timeliness,583
2797,Department of Treasury and Finance,114.9,122.5,Commercial and Infrastructure Advice,"This output contributes to the Department’s objective to improve how Government manages its balance sheet, commercial activities and public sector infrastructure by: • providing advice to Government and guidance to departments on infrastructure investment and other major commercial projects; • overseeing a range of commercial and transactional activities on behalf of Government, including providing governance oversight of government business enterprises and advice to Government, departments and agencies relating to future uses or disposal of surplus government land, property, management of contaminated land liabilities, office accommodation for the public service, and management of the Greener Government Buildings Program; • providing advice and reports on the State’s financial assets and liabilities and associated financial risks, including the State’s investments, debts, unfunded superannuation, insurance claims liabilities and overseeing the registration and regulation of rental housing agencies; • providing commercial, financial and risk management advice to Government and guidance to departments regarding infrastructure projects including Partnerships Victoria projects and managing major commercial activities on behalf of Government; • overseeing potential asset recycling opportunities; and • producing budget and financial reporting data for government business enterprise sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output: This output contributes to the Department’s objective to improve how Government manages its balance sheet, commercial activities and public sector infrastructure by: • providing advice to Government and guidance to departments on infrastructure investment and other major commercial projects; • overseeing a range of commercial and transactional activities on behalf of Government, including providing governance oversight of government business enterprises and advice to Government, departments and agencies relating to future uses or disposal of surplus government land, property, management of contaminated land liabilities, office accommodation for the public service, and management of the Greener Government Buildings Program; • providing advice and reports on the State’s financial assets and liabilities and associated financial risks, including the State’s investments, debts, unfunded superannuation, insurance claims liabilities and overseeing the registration and regulation of rental housing agencies; • providing commercial, financial and risk management advice to Government and guidance to departments regarding infrastructure projects including Partnerships Victoria projects and managing major commercial activities on behalf of Government; • overseeing potential asset recycling opportunities; and • producing budget and financial reporting data for government business enterprise sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",56.4,"Develop and implement policies, procedures and training to govern and build capability to deliver infrastructure investment",2016,72.0,number,Quantity,584
2798,Department of Treasury and Finance,114.9,122.5,Commercial and Infrastructure Advice,"This output contributes to the Department’s objective to improve how Government manages its balance sheet, commercial activities and public sector infrastructure by: • providing advice to Government and guidance to departments on infrastructure investment and other major commercial projects; • overseeing a range of commercial and transactional activities on behalf of Government, including providing governance oversight of government business enterprises and advice to Government, departments and agencies relating to future uses or disposal of surplus government land, property, management of contaminated land liabilities, office accommodation for the public service, and management of the Greener Government Buildings Program; • providing advice and reports on the State’s financial assets and liabilities and associated financial risks, including the State’s investments, debts, unfunded superannuation, insurance claims liabilities and overseeing the registration and regulation of rental housing agencies; • providing commercial, financial and risk management advice to Government and guidance to departments regarding infrastructure projects including Partnerships Victoria projects and managing major commercial activities on behalf of Government; • overseeing potential asset recycling opportunities; and • producing budget and financial reporting data for government business enterprise sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output: This output contributes to the Department’s objective to improve how Government manages its balance sheet, commercial activities and public sector infrastructure by: • providing advice to Government and guidance to departments on infrastructure investment and other major commercial projects; • overseeing a range of commercial and transactional activities on behalf of Government, including providing governance oversight of government business enterprises and advice to Government, departments and agencies relating to future uses or disposal of surplus government land, property, management of contaminated land liabilities, office accommodation for the public service, and management of the Greener Government Buildings Program; • providing advice and reports on the State’s financial assets and liabilities and associated financial risks, including the State’s investments, debts, unfunded superannuation, insurance claims liabilities and overseeing the registration and regulation of rental housing agencies; • providing commercial, financial and risk management advice to Government and guidance to departments regarding infrastructure projects including Partnerships Victoria projects and managing major commercial activities on behalf of Government; • overseeing potential asset recycling opportunities; and • producing budget and financial reporting data for government business enterprise sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",56.4,Gateway reviews undertaken,2016,70.0,number,Quantity,585
2799,Department of Treasury and Finance,114.9,122.5,Commercial and Infrastructure Advice,"This output contributes to the Department’s objective to improve how Government manages its balance sheet, commercial activities and public sector infrastructure by: • providing advice to Government and guidance to departments on infrastructure investment and other major commercial projects; • overseeing a range of commercial and transactional activities on behalf of Government, including providing governance oversight of government business enterprises and advice to Government, departments and agencies relating to future uses or disposal of surplus government land, property, management of contaminated land liabilities, office accommodation for the public service, and management of the Greener Government Buildings Program; • providing advice and reports on the State’s financial assets and liabilities and associated financial risks, including the State’s investments, debts, unfunded superannuation, insurance claims liabilities and overseeing the registration and regulation of rental housing agencies; • providing commercial, financial and risk management advice to Government and guidance to departments regarding infrastructure projects including Partnerships Victoria projects and managing major commercial activities on behalf of Government; • overseeing potential asset recycling opportunities; and • producing budget and financial reporting data for government business enterprise sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output: This output contributes to the Department’s objective to improve how Government manages its balance sheet, commercial activities and public sector infrastructure by: • providing advice to Government and guidance to departments on infrastructure investment and other major commercial projects; • overseeing a range of commercial and transactional activities on behalf of Government, including providing governance oversight of government business enterprises and advice to Government, departments and agencies relating to future uses or disposal of surplus government land, property, management of contaminated land liabilities, office accommodation for the public service, and management of the Greener Government Buildings Program; • providing advice and reports on the State’s financial assets and liabilities and associated financial risks, including the State’s investments, debts, unfunded superannuation, insurance claims liabilities and overseeing the registration and regulation of rental housing agencies; • providing commercial, financial and risk management advice to Government and guidance to departments regarding infrastructure projects including Partnerships Victoria projects and managing major commercial activities on behalf of Government; • overseeing potential asset recycling opportunities; and • producing budget and financial reporting data for government business enterprise sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",56.4,Revenue from sale of surplus Government land including Crown land,2016,133.4,$ million,Quantity,586
2800,Department of Treasury and Finance,114.9,122.5,Commercial and Infrastructure Advice,"This output contributes to the Department’s objective to improve how Government manages its balance sheet, commercial activities and public sector infrastructure by: • providing advice to Government and guidance to departments on infrastructure investment and other major commercial projects; • overseeing a range of commercial and transactional activities on behalf of Government, including providing governance oversight of government business enterprises and advice to Government, departments and agencies relating to future uses or disposal of surplus government land, property, management of contaminated land liabilities, office accommodation for the public service, and management of the Greener Government Buildings Program; • providing advice and reports on the State’s financial assets and liabilities and associated financial risks, including the State’s investments, debts, unfunded superannuation, insurance claims liabilities and overseeing the registration and regulation of rental housing agencies; • providing commercial, financial and risk management advice to Government and guidance to departments regarding infrastructure projects including Partnerships Victoria projects and managing major commercial activities on behalf of Government; • overseeing potential asset recycling opportunities; and • producing budget and financial reporting data for government business enterprise sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output: This output contributes to the Department’s objective to improve how Government manages its balance sheet, commercial activities and public sector infrastructure by: • providing advice to Government and guidance to departments on infrastructure investment and other major commercial projects; • overseeing a range of commercial and transactional activities on behalf of Government, including providing governance oversight of government business enterprises and advice to Government, departments and agencies relating to future uses or disposal of surplus government land, property, management of contaminated land liabilities, office accommodation for the public service, and management of the Greener Government Buildings Program; • providing advice and reports on the State’s financial assets and liabilities and associated financial risks, including the State’s investments, debts, unfunded superannuation, insurance claims liabilities and overseeing the registration and regulation of rental housing agencies; • providing commercial, financial and risk management advice to Government and guidance to departments regarding infrastructure projects including Partnerships Victoria projects and managing major commercial activities on behalf of Government; • overseeing potential asset recycling opportunities; and • producing budget and financial reporting data for government business enterprise sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",56.4,Coordinate and produce presentations for the annual review meetings with credit rating agencies,2016,2.0,number,Quantity,587
2801,Department of Treasury and Finance,114.9,122.5,Commercial and Infrastructure Advice,"This output contributes to the Department’s objective to improve how Government manages its balance sheet, commercial activities and public sector infrastructure by: • providing advice to Government and guidance to departments on infrastructure investment and other major commercial projects; • overseeing a range of commercial and transactional activities on behalf of Government, including providing governance oversight of government business enterprises and advice to Government, departments and agencies relating to future uses or disposal of surplus government land, property, management of contaminated land liabilities, office accommodation for the public service, and management of the Greener Government Buildings Program; • providing advice and reports on the State’s financial assets and liabilities and associated financial risks, including the State’s investments, debts, unfunded superannuation, insurance claims liabilities and overseeing the registration and regulation of rental housing agencies; • providing commercial, financial and risk management advice to Government and guidance to departments regarding infrastructure projects including Partnerships Victoria projects and managing major commercial activities on behalf of Government; • overseeing potential asset recycling opportunities; and • producing budget and financial reporting data for government business enterprise sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output: This output contributes to the Department’s objective to improve how Government manages its balance sheet, commercial activities and public sector infrastructure by: • providing advice to Government and guidance to departments on infrastructure investment and other major commercial projects; • overseeing a range of commercial and transactional activities on behalf of Government, including providing governance oversight of government business enterprises and advice to Government, departments and agencies relating to future uses or disposal of surplus government land, property, management of contaminated land liabilities, office accommodation for the public service, and management of the Greener Government Buildings Program; • providing advice and reports on the State’s financial assets and liabilities and associated financial risks, including the State’s investments, debts, unfunded superannuation, insurance claims liabilities and overseeing the registration and regulation of rental housing agencies; • providing commercial, financial and risk management advice to Government and guidance to departments regarding infrastructure projects including Partnerships Victoria projects and managing major commercial activities on behalf of Government; • overseeing potential asset recycling opportunities; and • producing budget and financial reporting data for government business enterprise sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",56.4,"Provision of PNFC/PFC financial estimates and actuals, along with commentary and analysis, for the State budget papers and financial reports",2016,6.0,number,Quantity,588
2802,Department of Treasury and Finance,114.9,122.5,Commercial and Infrastructure Advice,"This output contributes to the Department’s objective to improve how Government manages its balance sheet, commercial activities and public sector infrastructure by: • providing advice to Government and guidance to departments on infrastructure investment and other major commercial projects; • overseeing a range of commercial and transactional activities on behalf of Government, including providing governance oversight of government business enterprises and advice to Government, departments and agencies relating to future uses or disposal of surplus government land, property, management of contaminated land liabilities, office accommodation for the public service, and management of the Greener Government Buildings Program; • providing advice and reports on the State’s financial assets and liabilities and associated financial risks, including the State’s investments, debts, unfunded superannuation, insurance claims liabilities and overseeing the registration and regulation of rental housing agencies; • providing commercial, financial and risk management advice to Government and guidance to departments regarding infrastructure projects including Partnerships Victoria projects and managing major commercial activities on behalf of Government; • overseeing potential asset recycling opportunities; and • producing budget and financial reporting data for government business enterprise sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output: This output contributes to the Department’s objective to improve how Government manages its balance sheet, commercial activities and public sector infrastructure by: • providing advice to Government and guidance to departments on infrastructure investment and other major commercial projects; • overseeing a range of commercial and transactional activities on behalf of Government, including providing governance oversight of government business enterprises and advice to Government, departments and agencies relating to future uses or disposal of surplus government land, property, management of contaminated land liabilities, office accommodation for the public service, and management of the Greener Government Buildings Program; • providing advice and reports on the State’s financial assets and liabilities and associated financial risks, including the State’s investments, debts, unfunded superannuation, insurance claims liabilities and overseeing the registration and regulation of rental housing agencies; • providing commercial, financial and risk management advice to Government and guidance to departments regarding infrastructure projects including Partnerships Victoria projects and managing major commercial activities on behalf of Government; • overseeing potential asset recycling opportunities; and • producing budget and financial reporting data for government business enterprise sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",56.4,Maintain ISO 9001 (Quality Management Systems) Certification,2016,100.0,per cent,Quality,589
2803,Department of Treasury and Finance,114.9,122.5,Commercial and Infrastructure Advice,"This output contributes to the Department’s objective to improve how Government manages its balance sheet, commercial activities and public sector infrastructure by: • providing advice to Government and guidance to departments on infrastructure investment and other major commercial projects; • overseeing a range of commercial and transactional activities on behalf of Government, including providing governance oversight of government business enterprises and advice to Government, departments and agencies relating to future uses or disposal of surplus government land, property, management of contaminated land liabilities, office accommodation for the public service, and management of the Greener Government Buildings Program; • providing advice and reports on the State’s financial assets and liabilities and associated financial risks, including the State’s investments, debts, unfunded superannuation, insurance claims liabilities and overseeing the registration and regulation of rental housing agencies; • providing commercial, financial and risk management advice to Government and guidance to departments regarding infrastructure projects including Partnerships Victoria projects and managing major commercial activities on behalf of Government; • overseeing potential asset recycling opportunities; and • producing budget and financial reporting data for government business enterprise sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output: This output contributes to the Department’s objective to improve how Government manages its balance sheet, commercial activities and public sector infrastructure by: • providing advice to Government and guidance to departments on infrastructure investment and other major commercial projects; • overseeing a range of commercial and transactional activities on behalf of Government, including providing governance oversight of government business enterprises and advice to Government, departments and agencies relating to future uses or disposal of surplus government land, property, management of contaminated land liabilities, office accommodation for the public service, and management of the Greener Government Buildings Program; • providing advice and reports on the State’s financial assets and liabilities and associated financial risks, including the State’s investments, debts, unfunded superannuation, insurance claims liabilities and overseeing the registration and regulation of rental housing agencies; • providing commercial, financial and risk management advice to Government and guidance to departments regarding infrastructure projects including Partnerships Victoria projects and managing major commercial activities on behalf of Government; • overseeing potential asset recycling opportunities; and • producing budget and financial reporting data for government business enterprise sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",56.4,Advice provided to Government on board appointments at least three months prior to upcoming board vacancies,2016,100.0,per cent,Timeliness,590
2804,Department of Treasury and Finance,114.9,122.5,Commercial and Infrastructure Advice,"This output contributes to the Department’s objective to improve how Government manages its balance sheet, commercial activities and public sector infrastructure by: • providing advice to Government and guidance to departments on infrastructure investment and other major commercial projects; • overseeing a range of commercial and transactional activities on behalf of Government, including providing governance oversight of government business enterprises and advice to Government, departments and agencies relating to future uses or disposal of surplus government land, property, management of contaminated land liabilities, office accommodation for the public service, and management of the Greener Government Buildings Program; • providing advice and reports on the State’s financial assets and liabilities and associated financial risks, including the State’s investments, debts, unfunded superannuation, insurance claims liabilities and overseeing the registration and regulation of rental housing agencies; • providing commercial, financial and risk management advice to Government and guidance to departments regarding infrastructure projects including Partnerships Victoria projects and managing major commercial activities on behalf of Government; • overseeing potential asset recycling opportunities; and • producing budget and financial reporting data for government business enterprise sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output: This output contributes to the Department’s objective to improve how Government manages its balance sheet, commercial activities and public sector infrastructure by: • providing advice to Government and guidance to departments on infrastructure investment and other major commercial projects; • overseeing a range of commercial and transactional activities on behalf of Government, including providing governance oversight of government business enterprises and advice to Government, departments and agencies relating to future uses or disposal of surplus government land, property, management of contaminated land liabilities, office accommodation for the public service, and management of the Greener Government Buildings Program; • providing advice and reports on the State’s financial assets and liabilities and associated financial risks, including the State’s investments, debts, unfunded superannuation, insurance claims liabilities and overseeing the registration and regulation of rental housing agencies; • providing commercial, financial and risk management advice to Government and guidance to departments regarding infrastructure projects including Partnerships Victoria projects and managing major commercial activities on behalf of Government; • overseeing potential asset recycling opportunities; and • producing budget and financial reporting data for government business enterprise sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",56.4,Analysis and review of corporate plans within two months of receipt,2016,95.0,per cent,Timeliness,591
2805,Department of Treasury and Finance,114.9,122.5,Services to Government,"The output contributes to the Department’s objective of delivering efficient whole of government common services to the Victorian public sector by: • developing and maintaining a framework of whole of government policies, standards and guidelines which promote the efficient and effective use of common services including procurement, fleet and accommodation; • managing a program of whole of government procurement contracts to ensure optimum benefit to government; • supporting the operations of the Victorian Government Purchasing Board; • providing whole of government accommodation; and • providing of efficient fleet leasing and management services. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",39.6,Total accommodation cost,2016,380.0,$ per square metre per year,Quantity,593
2806,Department of Treasury and Finance,114.9,122.5,Services to Government,"The output contributes to the Department’s objective of delivering efficient whole of government common services to the Victorian public sector by: • developing and maintaining a framework of whole of government policies, standards and guidelines which promote the efficient and effective use of common services including procurement, fleet and accommodation; • managing a program of whole of government procurement contracts to ensure optimum benefit to government; • supporting the operations of the Victorian Government Purchasing Board; • providing whole of government accommodation; and • providing of efficient fleet leasing and management services. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",39.6,Workspace ratio,2016,13.4,square metre per FTE,Quantity,594
2807,Department of Treasury and Finance,114.9,122.5,Services to Government,"The output contributes to the Department’s objective of delivering efficient whole of government common services to the Victorian public sector by: • developing and maintaining a framework of whole of government policies, standards and guidelines which promote the efficient and effective use of common services including procurement, fleet and accommodation; • managing a program of whole of government procurement contracts to ensure optimum benefit to government; • supporting the operations of the Victorian Government Purchasing Board; • providing whole of government accommodation; and • providing of efficient fleet leasing and management services. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",39.6,Client agencies’ satisfaction with the service provided by the Shared Services Provider,2016,78.4,per cent,Quality,595
2808,Department of Treasury and Finance,114.9,122.5,Services to Government,"The output contributes to the Department’s objective of delivering efficient whole of government common services to the Victorian public sector by: • developing and maintaining a framework of whole of government policies, standards and guidelines which promote the efficient and effective use of common services including procurement, fleet and accommodation; • managing a program of whole of government procurement contracts to ensure optimum benefit to government; • supporting the operations of the Victorian Government Purchasing Board; • providing whole of government accommodation; and • providing of efficient fleet leasing and management services. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",39.6,Maintain ISO 9001 (Quality Management Systems) Certification,2016,100.0,per cent,Quality,596
2768,Department of Treasury and Finance,143.6,114.9,Economic Regulatory Services,"This output provides economic regulation of utilities and other specified markets in Victoria to protect the long-term interests of Victorian consumers with regard to price, quality, reliability and efficiency of essential services. By providing these services, this output contributes to the Departmental objective to strengthen Victoria’s economic performance. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output provides economic regulation of utilities and other specified markets in Victoria to protect the long-term interests of Victorian consumers with regard to price, quality, reliability and efficiency of essential services. By providing these services, this output contributes to the Departmental objective to strengthen Victoria’s economic performance. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",24.1,New or revised regulatory instruments issued,2017,8.0,number,Quantity,575
